sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
244,Ag,0,Pseudomonas aeruginosa,0,ATCC 27853,chemical_synthesis,MIC,0.5,,,3,3,3,spherical,,,,,,,,,,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,10.1099/jmm.0.047100-0,18,Journal of Medical Microbiology,Microbiology Society,2012,Synergistic effects between silver nanoparticles and antibiotics and the mechanisms involved,FALSE,FALSE,closed,18_hwang2012.pdf,0
245,Ag,0,Pseudomonas aeruginosa,0,ATCC 27853,chemical_synthesis,MIC,0.5,,,3,3,3,spherical,,,,,,,,,,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,10.1099/jmm.0.047100-0,18,Journal of Medical Microbiology,Microbiology Society,2012,Synergistic effects between silver nanoparticles and antibiotics and the mechanisms involved,FALSE,FALSE,closed,18_hwang2012.pdf,0
246,Ag,0,Staphylococcus aureus,0,ATCC 25923,chemical_synthesis,MIC,0.5,,,3,3,3,spherical,,,,,,,,,,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,10.1099/jmm.0.047100-0,18,Journal of Medical Microbiology,Microbiology Society,2012,Synergistic effects between silver nanoparticles and antibiotics and the mechanisms involved,FALSE,FALSE,closed,18_hwang2012.pdf,0
247,Ag,0,Staphylococcus aureus,0,ATCC 25923,chemical_synthesis,MIC,0.5,,,3,3,3,spherical,,,,,,,,,,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,10.1099/jmm.0.047100-0,18,Journal of Medical Microbiology,Microbiology Society,2012,Synergistic effects between silver nanoparticles and antibiotics and the mechanisms involved,FALSE,FALSE,closed,18_hwang2012.pdf,0
248,Ag,0,Staphylococcus aureus,0,ATCC 25923,chemical_synthesis,MIC,0.5,,,3,3,3,spherical,,,,,,,,,,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,10.1099/jmm.0.047100-0,18,Journal of Medical Microbiology,Microbiology Society,2012,Synergistic effects between silver nanoparticles and antibiotics and the mechanisms involved,FALSE,FALSE,closed,18_hwang2012.pdf,0
249,Ag,0,Streptococcus mutans,0,KCTC 3065,chemical_synthesis,MIC,2,,,3,3,3,spherical,,,,,,,,,,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,10.1099/jmm.0.047100-0,18,Journal of Medical Microbiology,Microbiology Society,2012,Synergistic effects between silver nanoparticles and antibiotics and the mechanisms involved,FALSE,FALSE,closed,18_hwang2012.pdf,0
250,Ag,0,Streptococcus mutans,0,KCTC 3065,chemical_synthesis,MIC,2,,,3,3,3,spherical,,,,,,,,,,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,10.1099/jmm.0.047100-0,18,Journal of Medical Microbiology,Microbiology Society,2012,Synergistic effects between silver nanoparticles and antibiotics and the mechanisms involved,FALSE,FALSE,closed,18_hwang2012.pdf,0
251,Ag,0,Streptococcus mutans,0,KCTC 3065,chemical_synthesis,MIC,2,,,3,3,3,spherical,,,,,,,,,,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,10.1099/jmm.0.047100-0,18,Journal of Medical Microbiology,Microbiology Society,2012,Synergistic effects between silver nanoparticles and antibiotics and the mechanisms involved,FALSE,FALSE,closed,18_hwang2012.pdf,0
252,Ag,0,Acinetobacter baumannii,0,,green_synthesis,MIC,8,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
253,Ag,0,Acinetobacter baumannii,0,,green_synthesis,MIC,8,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
254,Ag,0,Acinetobacter baumannii,0,,green_synthesis,MIC,8,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
255,Ag,0,Acinetobacter baumannii,0,,green_synthesis,MIC,8,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
256,Ag,0,Acinetobacter baumannii,0,,green_synthesis,MIC,8,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
257,Ag,0,Acinetobacter baumannii,0,,green_synthesis,MBC,16,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
258,Ag,0,Escherichia coli,0,,green_synthesis,MIC,64,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
259,Ag,0,Escherichia coli,0,,green_synthesis,MIC,64,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
260,Ag,0,Escherichia coli,0,,green_synthesis,MIC,64,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
261,Ag,0,Escherichia coli,0,,green_synthesis,MIC,64,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
262,Ag,0,Escherichia coli,0,,green_synthesis,MIC,64,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
263,Ag,0,Escherichia coli,0,,green_synthesis,MBC,128,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
264,Ag,0,Klebsiella sp.,0,,green_synthesis,MIC,64,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
265,Ag,0,Klebsiella sp.,0,,green_synthesis,MIC,64,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
266,Ag,0,Klebsiella sp.,0,,green_synthesis,MIC,64,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
267,Ag,0,Klebsiella sp.,0,,green_synthesis,MIC,64,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
268,Ag,0,Klebsiella sp.,0,,green_synthesis,MIC,64,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
269,Ag,0,Klebsiella sp.,0,,green_synthesis,MBC,128,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
270,Ag,0,Proteus sp.,0,,green_synthesis,MIC,32,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
271,Ag,0,Proteus sp.,0,,green_synthesis,MIC,32,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
272,Ag,0,Proteus sp.,0,,green_synthesis,MIC,32,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
273,Ag,0,Proteus sp.,0,,green_synthesis,MIC,32,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
274,Ag,0,Proteus sp.,0,,green_synthesis,MIC,32,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
275,Ag,0,Proteus sp.,0,,green_synthesis,MBC,64,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
276,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,64,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
277,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,64,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
278,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,64,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
279,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,64,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
280,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,64,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
281,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MBC,128,,,1,9,4.7,spherical,24,,,,,,,,,https://www.nature.com/articles/s41598-022-19698-0,10.1038/s41598-022-19698-0,30,Scientific Reports,Springer Science and Business Media LLC,2022,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,TRUE,TRUE,gold,30_s41598-022-19698-0.pdf,1
282,Ag,0,Escherichia coli,0,ATCC 10536,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,TRUE,TRUE,gold,31_thirumurugan2016.pdf,1
283,Ag,0,Escherichia coli,0,ATCC 10536,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,TRUE,TRUE,gold,31_thirumurugan2016.pdf,1
284,Ag,0,Escherichia coli,0,ATCC 10536,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,TRUE,TRUE,gold,31_thirumurugan2016.pdf,1
285,Ag,0,Escherichia coli,0,ATCC 10536,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,TRUE,TRUE,gold,31_thirumurugan2016.pdf,1
286,Ag,0,Escherichia coli,0,ATCC 10536,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,TRUE,TRUE,gold,31_thirumurugan2016.pdf,1
287,Ag,0,Escherichia coli,0,ATCC 10536,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,TRUE,TRUE,gold,31_thirumurugan2016.pdf,1
288,Ag,0,Pseudomonas aeruginosa,0,ATCC 25619,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,TRUE,TRUE,gold,31_thirumurugan2016.pdf,1
289,Ag,0,Pseudomonas aeruginosa,0,ATCC 25619,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,TRUE,TRUE,gold,31_thirumurugan2016.pdf,1
290,Ag,0,Pseudomonas aeruginosa,0,ATCC 25619,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,TRUE,TRUE,gold,31_thirumurugan2016.pdf,1
291,Ag,0,Pseudomonas aeruginosa,0,ATCC 25619,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,TRUE,TRUE,gold,31_thirumurugan2016.pdf,1
292,Ag,0,Pseudomonas aeruginosa,0,ATCC 25619,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,TRUE,TRUE,gold,31_thirumurugan2016.pdf,1
293,Ag,0,Pseudomonas aeruginosa,0,ATCC 25619,green_synthesis,MIC,2.5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,TRUE,TRUE,gold,31_thirumurugan2016.pdf,1
294,Ag,0,Staphylococcus aureus,0,ATCC 25922,green_synthesis,MIC,5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,TRUE,TRUE,gold,31_thirumurugan2016.pdf,1
295,Ag,0,Staphylococcus aureus,0,ATCC 25922,green_synthesis,MIC,5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,TRUE,TRUE,gold,31_thirumurugan2016.pdf,1
296,Ag,0,Staphylococcus aureus,0,ATCC 25922,green_synthesis,MIC,5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,TRUE,TRUE,gold,31_thirumurugan2016.pdf,1
297,Ag,0,Staphylococcus aureus,0,ATCC 25922,green_synthesis,MIC,5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,TRUE,TRUE,gold,31_thirumurugan2016.pdf,1
298,Ag,0,Staphylococcus aureus,0,ATCC 25922,green_synthesis,MIC,5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,TRUE,TRUE,gold,31_thirumurugan2016.pdf,1
299,Ag,0,Staphylococcus aureus,0,ATCC 25922,green_synthesis,MIC,5,,,,,,,,,,,,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,31,Scientific Reports,Springer Science and Business Media LLC,2016,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,TRUE,TRUE,gold,31_thirumurugan2016.pdf,1
300,Ag,0,Acinetobacter baumannii,0,AIIMS 7,green_synthesis,MIC,16,,,8,12,10,spherical,24,,,,,,,,,https://www.ingentaconnect.com/content/asp/jnn/2018/00000018/00000006/art00007,10.1166/jnn.2018.15013,20,Journal of Nanoscience and Nanotechnology,American Scientific Publishers,2018,Antibacterial Activities of Bacteriagenic Silver Nanoparticles Against Nosocomial Acinetobacter baumannii,FALSE,FALSE,closed,24_swolana2020.pdf,1
301,Ag,0,Acinetobacter baumannii,0,AIIMS 7,green_synthesis,MIC,16,,,8,12,10,spherical,24,,,,,,,,,https://www.ingentaconnect.com/content/asp/jnn/2018/00000018/00000006/art00007,10.1166/jnn.2018.15013,20,Journal of Nanoscience and Nanotechnology,American Scientific Publishers,2018,Antibacterial Activities of Bacteriagenic Silver Nanoparticles Against Nosocomial Acinetobacter baumannii,FALSE,FALSE,closed,24_swolana2020.pdf,1
302,Ag,0,Acinetobacter baumannii,0,AIIMS 7,green_synthesis,MIC,16,,,8,12,10,spherical,24,,,,,,,,,https://www.ingentaconnect.com/content/asp/jnn/2018/00000018/00000006/art00007,10.1166/jnn.2018.15013,20,Journal of Nanoscience and Nanotechnology,American Scientific Publishers,2018,Antibacterial Activities of Bacteriagenic Silver Nanoparticles Against Nosocomial Acinetobacter baumannii,FALSE,FALSE,closed,24_swolana2020.pdf,1
303,Ag,0,Acinetobacter baumannii,0,AIIMS 7,green_synthesis,MIC,16,,,8,12,10,spherical,24,,,,,,,,,https://www.ingentaconnect.com/content/asp/jnn/2018/00000018/00000006/art00007,10.1166/jnn.2018.15013,20,Journal of Nanoscience and Nanotechnology,American Scientific Publishers,2018,Antibacterial Activities of Bacteriagenic Silver Nanoparticles Against Nosocomial Acinetobacter baumannii,FALSE,FALSE,closed,24_swolana2020.pdf,1
304,Ag,0,Acinetobacter baumannii,0,AIIMS 7,green_synthesis,MIC,16,,,8,12,10,spherical,24,,,,,,,,,https://www.ingentaconnect.com/content/asp/jnn/2018/00000018/00000006/art00007,10.1166/jnn.2018.15013,20,Journal of Nanoscience and Nanotechnology,American Scientific Publishers,2018,Antibacterial Activities of Bacteriagenic Silver Nanoparticles Against Nosocomial Acinetobacter baumannii,FALSE,FALSE,closed,24_swolana2020.pdf,1
305,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,0.234,,,10,10,10,spherical,24,,,,,,,,,https://journals.asm.org/doi/10.1128/aac.03170-14#ref-list-1,10.1128/aac.03170-14,5,Antimicrobial Agents and Chemotherapy,American Society for Microbiology,2014,Synergy of Silver Nanoparticles and Aztreonam against Pseudomonas aeruginosa PAO1 Biofilms,FALSE,TRUE,bronze,24_swolana2020.pdf,1
306,Ag,0,Staphylococcus epidermidis,0,ATCC 12228,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),MIC,3,,,10,10,10,spherical,24,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7281182/,10.3390/nano10051010,24,Nanomaterials,MDPI AG,2020,The Antibacterial Effect of Silver Nanoparticles on Staphylococcus Epidermidis Strains with Different Biofilm-Forming Ability,TRUE,TRUE,gold,24_swolana2020.pdf,1
307,Ag,0,Staphylococcus epidermidis,0,ATCC 36983,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),MIC,4,,,10,10,10,spherical,24,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7281182/,10.3390/nano10051010,24,Nanomaterials,MDPI AG,2020,The Antibacterial Effect of Silver Nanoparticles on Staphylococcus Epidermidis Strains with Different Biofilm-Forming Ability,TRUE,TRUE,gold,24_swolana2020.pdf,1
308,Ag,0,Staphylococcus epidermidis,0,ATCC 35984,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),MIC,5,,,10,10,10,spherical,24,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7281182/,10.3390/nano10051010,24,Nanomaterials,MDPI AG,2020,The Antibacterial Effect of Silver Nanoparticles on Staphylococcus Epidermidis Strains with Different Biofilm-Forming Ability,TRUE,TRUE,gold,24_swolana2020.pdf,1
309,Ag,0,Staphylococcus epidermidis,0,ATCC 36983,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),MIC,4,,,10,10,20,spherical,24,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7281182/,10.3390/nano10051010,24,Nanomaterials,MDPI AG,2020,The Antibacterial Effect of Silver Nanoparticles on Staphylococcus Epidermidis Strains with Different Biofilm-Forming Ability,TRUE,TRUE,gold,24_swolana2020.pdf,1
310,Ag,0,Staphylococcus epidermidis,0,ATCC 35984,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),MIC,1,,,10,10,20,spherical,24,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7281182/,10.3390/nano10051010,24,Nanomaterials,MDPI AG,2020,The Antibacterial Effect of Silver Nanoparticles on Staphylococcus Epidermidis Strains with Different Biofilm-Forming Ability,TRUE,TRUE,gold,24_swolana2020.pdf,1
