sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
1856,SiO2,Sphere,,Sol-Gel Method,,,,,H,Human,Skin,Keratinocyte,Adult,4,200,MTT,TetrazoliumSalt,36.126,10.1002/jat.2953,54,,50,,HaCat,Journal of Applied Toxicology,Wiley,2013,Cytotoxicity of silica nanoparticles on HaCaT cells,FALSE,TRUE,bronze,54_liang2013.pdf,1
1857,SiO2,Sphere,,Sol-Gel Method,,,,,H,Human,Skin,Keratinocyte,Adult,4,400,MTT,TetrazoliumSalt,22.253,10.1002/jat.2953,54,,50,,HaCat,Journal of Applied Toxicology,Wiley,2013,Cytotoxicity of silica nanoparticles on HaCaT cells,FALSE,TRUE,bronze,54_liang2013.pdf,1
1858,SiO2,Sphere,,Sol-Gel Method,,,,,H,Human,Skin,Keratinocyte,Adult,4,500,MTT,TetrazoliumSalt,19.643,10.1002/jat.2953,54,,50,,HaCat,Journal of Applied Toxicology,Wiley,2013,Cytotoxicity of silica nanoparticles on HaCaT cells,FALSE,TRUE,bronze,54_liang2013.pdf,1
1859,Ag,Sphere,,Chemical Reduction,Negative,43.9,-16.2,10000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,72,1,MTT,TetrazoliumSalt,91.262,10.1016/j.toxlet.2012.07.009,55,,,,RAW264.7,Toxicology Letters,Elsevier BV,2012,"Cellular uptake, intracellular trafficking and cytotoxicity of silver nanoparticles",FALSE,FALSE,closed,55_singh2012.pdf,0
1860,Ag,Sphere,,Chemical Reduction,Negative,43.9,-16.2,10000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,72,3,MTT,TetrazoliumSalt,87.5,10.1016/j.toxlet.2012.07.009,55,,,,RAW264.7,Toxicology Letters,Elsevier BV,2012,"Cellular uptake, intracellular trafficking and cytotoxicity of silver nanoparticles",FALSE,FALSE,closed,55_singh2012.pdf,0
1861,Ag,Sphere,,Chemical Reduction,Negative,43.9,-16.2,10000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,72,10,MTT,TetrazoliumSalt,81.553,10.1016/j.toxlet.2012.07.009,55,,,,RAW264.7,Toxicology Letters,Elsevier BV,2012,"Cellular uptake, intracellular trafficking and cytotoxicity of silver nanoparticles",FALSE,FALSE,closed,55_singh2012.pdf,0
1862,Ag,Sphere,,Chemical Reduction,Negative,43.9,-16.2,10000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,72,30,MTT,TetrazoliumSalt,52.306,10.1016/j.toxlet.2012.07.009,55,,,,RAW264.7,Toxicology Letters,Elsevier BV,2012,"Cellular uptake, intracellular trafficking and cytotoxicity of silver nanoparticles",FALSE,FALSE,closed,55_singh2012.pdf,0
1863,Ag,Sphere,,Chemical Reduction,Negative,43.9,-16.2,10000,A,Mouse,Ascites,Monocyte/Macrophage,Adult,72,100,MTT,TetrazoliumSalt,30.097,10.1016/j.toxlet.2012.07.009,55,,,,RAW264.7,Toxicology Letters,Elsevier BV,2012,"Cellular uptake, intracellular trafficking and cytotoxicity of silver nanoparticles",FALSE,FALSE,closed,55_singh2012.pdf,0
1864,Ag,Sphere,,Chemical Reduction,Negative,43.9,-16.2,10000,A,Mouse,Ascites,Macrophage,Adult,72,1,MTT,TetrazoliumSalt,108.01,10.1016/j.toxlet.2012.07.009,55,,,,J774A.1,Toxicology Letters,Elsevier BV,2012,"Cellular uptake, intracellular trafficking and cytotoxicity of silver nanoparticles",FALSE,FALSE,closed,55_singh2012.pdf,0
1865,Ag,Sphere,,Chemical Reduction,Negative,43.9,-16.2,10000,A,Mouse,Ascites,Macrophage,Adult,72,3,MTT,TetrazoliumSalt,107.14,10.1016/j.toxlet.2012.07.009,55,,,,J774A.1,Toxicology Letters,Elsevier BV,2012,"Cellular uptake, intracellular trafficking and cytotoxicity of silver nanoparticles",FALSE,FALSE,closed,55_singh2012.pdf,0
1866,Ag,Sphere,,Chemical Reduction,Negative,43.9,-16.2,10000,A,Mouse,Ascites,Macrophage,Adult,72,10,MTT,TetrazoliumSalt,106.26,10.1016/j.toxlet.2012.07.009,55,,,,J774A.1,Toxicology Letters,Elsevier BV,2012,"Cellular uptake, intracellular trafficking and cytotoxicity of silver nanoparticles",FALSE,FALSE,closed,55_singh2012.pdf,0
1867,Ag,Sphere,,Chemical Reduction,Negative,43.9,-16.2,10000,A,Mouse,Ascites,Macrophage,Adult,72,30,MTT,TetrazoliumSalt,94.072,10.1016/j.toxlet.2012.07.009,55,,,,J774A.1,Toxicology Letters,Elsevier BV,2012,"Cellular uptake, intracellular trafficking and cytotoxicity of silver nanoparticles",FALSE,FALSE,closed,55_singh2012.pdf,0
1868,Ag,Sphere,,Chemical Reduction,Negative,43.9,-16.2,10000,A,Mouse,Ascites,Macrophage,Adult,72,100,MTT,TetrazoliumSalt,64.764,10.1016/j.toxlet.2012.07.009,55,,,,J774A.1,Toxicology Letters,Elsevier BV,2012,"Cellular uptake, intracellular trafficking and cytotoxicity of silver nanoparticles",FALSE,FALSE,closed,55_singh2012.pdf,0
1869,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,24,0.5,CCK-8,TetrazoliumSalt,88.021,10.1155/2012/160145,56,,20,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1870,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,24,5,CCK-8,TetrazoliumSalt,85.069,10.1155/2012/160145,56,,20,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1871,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,24,50,CCK-8,TetrazoliumSalt,55.556,10.1155/2012/160145,56,,20,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1872,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,24,500,CCK-8,TetrazoliumSalt,12.5,10.1155/2012/160145,56,,20,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1873,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,24,0.5,CCK-8,TetrazoliumSalt,97.049,10.1155/2012/160145,56,,20,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1874,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,24,5,CCK-8,TetrazoliumSalt,94.444,10.1155/2012/160145,56,,20,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1875,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,24,50,CCK-8,TetrazoliumSalt,92.014,10.1155/2012/160145,56,,20,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1876,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,24,500,CCK-8,TetrazoliumSalt,5.9028,10.1155/2012/160145,56,,20,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1877,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,48,0.5,CCK-8,TetrazoliumSalt,83.505,10.1155/2012/160145,56,,20,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1878,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,48,5,CCK-8,TetrazoliumSalt,69.931,10.1155/2012/160145,56,,20,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1879,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,48,50,CCK-8,TetrazoliumSalt,49.485,10.1155/2012/160145,56,,20,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1881,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,48,0.5,CCK-8,TetrazoliumSalt,99.485,10.1155/2012/160145,56,,20,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1882,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,48,5,CCK-8,TetrazoliumSalt,89.519,10.1155/2012/160145,56,,20,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1883,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,48,50,CCK-8,TetrazoliumSalt,85.911,10.1155/2012/160145,56,,20,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1884,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,48,500,CCK-8,TetrazoliumSalt,3.9519,10.1155/2012/160145,56,,20,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1885,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,72,0.5,CCK-8,TetrazoliumSalt,82.847,10.1155/2012/160145,56,,20,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1886,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,72,5,CCK-8,TetrazoliumSalt,59.691,10.1155/2012/160145,56,,20,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1887,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,72,50,CCK-8,TetrazoliumSalt,39.108,10.1155/2012/160145,56,,20,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1888,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,72,500,CCK-8,TetrazoliumSalt,1.5437,10.1155/2012/160145,56,,20,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1889,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,72,0.5,CCK-8,TetrazoliumSalt,83.877,10.1155/2012/160145,56,,20,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1890,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,72,5,CCK-8,TetrazoliumSalt,81.818,10.1155/2012/160145,56,,20,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1891,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,72,50,CCK-8,TetrazoliumSalt,58.834,10.1155/2012/160145,56,,20,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1892,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,72,500,CCK-8,TetrazoliumSalt,2.4014,10.1155/2012/160145,56,,20,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1893,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,24,0.5,CCK-8,TetrazoliumSalt,87.13,10.1155/2012/160145,56,,100,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1894,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,24,5,CCK-8,TetrazoliumSalt,78.609,10.1155/2012/160145,56,,100,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1895,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,24,50,CCK-8,TetrazoliumSalt,55.13,10.1155/2012/160145,56,,100,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1896,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,24,500,CCK-8,TetrazoliumSalt,9.913,10.1155/2012/160145,56,,100,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1897,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,24,0.5,CCK-8,TetrazoliumSalt,98.087,10.1155/2012/160145,56,,100,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1898,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,24,5,CCK-8,TetrazoliumSalt,95.652,10.1155/2012/160145,56,,100,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1899,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,24,50,CCK-8,TetrazoliumSalt,96.522,10.1155/2012/160145,56,,100,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1900,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,24,500,CCK-8,TetrazoliumSalt,1.0435,10.1155/2012/160145,56,,100,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1901,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,48,0.5,CCK-8,TetrazoliumSalt,88.644,10.1155/2012/160145,56,,100,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1902,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,48,5,CCK-8,TetrazoliumSalt,90.169,10.1155/2012/160145,56,,100,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1903,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,48,50,CCK-8,TetrazoliumSalt,63.39,10.1155/2012/160145,56,,100,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1905,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,48,0.5,CCK-8,TetrazoliumSalt,92.542,10.1155/2012/160145,56,,100,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1906,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,48,5,CCK-8,TetrazoliumSalt,96.61,10.1155/2012/160145,56,,100,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1907,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,48,50,CCK-8,TetrazoliumSalt,96.102,10.1155/2012/160145,56,,100,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1908,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,48,500,CCK-8,TetrazoliumSalt,2.3729,10.1155/2012/160145,56,,100,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1909,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,72,0.5,CCK-8,TetrazoliumSalt,77.108,10.1155/2012/160145,56,,100,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1910,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,72,5,CCK-8,TetrazoliumSalt,75.559,10.1155/2012/160145,56,,100,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1911,Ag,Sphere,,Commercial,,,,10000,H,Human,Embryo,Fibroblast,Embryonic,72,50,CCK-8,TetrazoliumSalt,55.25,10.1155/2012/160145,56,,100,,EBF,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1913,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,72,0.5,CCK-8,TetrazoliumSalt,91.05,10.1155/2012/160145,56,,100,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1914,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,72,5,CCK-8,TetrazoliumSalt,91.91,10.1155/2012/160145,56,,100,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1915,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,72,50,CCK-8,TetrazoliumSalt,91.566,10.1155/2012/160145,56,,100,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1916,Ag,Sphere,,Commercial,,,,10000,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,72,500,CCK-8,TetrazoliumSalt,11.876,10.1155/2012/160145,56,,100,,L929,Journal of Nanomaterials,Wiley,2012,Cytotoxicity of Silver Nanoparticles in Human Embryonic Stem CellГўВЂВђDerived Fibroblasts and an LГўВЂВђ929 Cell Line,FALSE,TRUE,hybrid,56_peng2012.pdf,1
1917,CaHCO3,Rod,,Precipitation,,567.86,,,H,Human,BoneMarrow,,,24,5,CCK-8,,98.864,10.1155/2018/2036176,57,,,,hMSC,Stem Cells International,Wiley,2018,In Vitro Uptake of Hydroxyapatite Nanoparticles and Their Effect on Osteogenic Differentiation of Human Mesenchymal Stem Cells,TRUE,TRUE,gold,57_yang2018.pdf,1
1918,CaHCO3,Rod,,Precipitation,,567.86,,,H,Human,BoneMarrow,,,24,10,CCK-8,,100,10.1155/2018/2036176,57,,,,hMSC,Stem Cells International,Wiley,2018,In Vitro Uptake of Hydroxyapatite Nanoparticles and Their Effect on Osteogenic Differentiation of Human Mesenchymal Stem Cells,TRUE,TRUE,gold,57_yang2018.pdf,1
1919,CaHCO3,Rod,,Precipitation,,567.86,,,H,Human,BoneMarrow,,,24,50,CCK-8,,91.136,10.1155/2018/2036176,57,,,,hMSC,Stem Cells International,Wiley,2018,In Vitro Uptake of Hydroxyapatite Nanoparticles and Their Effect on Osteogenic Differentiation of Human Mesenchymal Stem Cells,TRUE,TRUE,gold,57_yang2018.pdf,1
1920,CaHCO3,Rod,,Precipitation,,626.1,,,H,Human,BoneMarrow,,,24,5,CCK-8,,100,10.1155/2018/2036176,57,,,,hMSC,Stem Cells International,Wiley,2018,In Vitro Uptake of Hydroxyapatite Nanoparticles and Their Effect on Osteogenic Differentiation of Human Mesenchymal Stem Cells,TRUE,TRUE,gold,57_yang2018.pdf,1
1921,CaHCO3,Rod,,Precipitation,,626.1,,,H,Human,BoneMarrow,,,24,10,CCK-8,,99.318,10.1155/2018/2036176,57,,,,hMSC,Stem Cells International,Wiley,2018,In Vitro Uptake of Hydroxyapatite Nanoparticles and Their Effect on Osteogenic Differentiation of Human Mesenchymal Stem Cells,TRUE,TRUE,gold,57_yang2018.pdf,1
1922,CaHCO3,Rod,,Precipitation,,626.1,,,H,Human,BoneMarrow,,,24,50,CCK-8,,89.318,10.1155/2018/2036176,57,,,,hMSC,Stem Cells International,Wiley,2018,In Vitro Uptake of Hydroxyapatite Nanoparticles and Their Effect on Osteogenic Differentiation of Human Mesenchymal Stem Cells,TRUE,TRUE,gold,57_yang2018.pdf,1
1923,CaHCO3,Rod,,Precipitation,,1262.33,,,H,Human,BoneMarrow,,,24,5,CCK-8,,99.318,10.1155/2018/2036176,57,,,,hMSC,Stem Cells International,Wiley,2018,In Vitro Uptake of Hydroxyapatite Nanoparticles and Their Effect on Osteogenic Differentiation of Human Mesenchymal Stem Cells,TRUE,TRUE,gold,57_yang2018.pdf,1
1924,CaHCO3,Rod,,Precipitation,,1262.33,,,H,Human,BoneMarrow,,,24,10,CCK-8,,99.318,10.1155/2018/2036176,57,,,,hMSC,Stem Cells International,Wiley,2018,In Vitro Uptake of Hydroxyapatite Nanoparticles and Their Effect on Osteogenic Differentiation of Human Mesenchymal Stem Cells,TRUE,TRUE,gold,57_yang2018.pdf,1
1925,CaHCO3,Rod,,Precipitation,,1262.33,,,H,Human,BoneMarrow,,,24,50,CCK-8,,85.227,10.1155/2018/2036176,57,,,,hMSC,Stem Cells International,Wiley,2018,In Vitro Uptake of Hydroxyapatite Nanoparticles and Their Effect on Osteogenic Differentiation of Human Mesenchymal Stem Cells,TRUE,TRUE,gold,57_yang2018.pdf,1
